close,high,low,open,time,volumefrom,volumeto,timestamp
71.31,72.3,71.26,72.3,1509228000,229.99,16414.96,2017-10-28 15:00:00
71.21,72.24,71.17,71.31,1509231600,239.42,17060.88,2017-10-28 16:00:00
71.1,72.25,71.09,71.21,1509235200,191.67,13635.51,2017-10-28 17:00:00
71.18,72.28,71.06,71.1,1509238800,40.74,2915.58,2017-10-28 18:00:00
71.14,72.26,71.13,71.18,1509242400,189.55,13544.17,2017-10-28 19:00:00
71.01,72.3,71.01,71.14,1509246000,162.26,11550.64,2017-10-28 20:00:00
72.3,72.3,71.01,71.01,1509249600,15.42,1114.22,2017-10-28 21:00:00
72.29,72.3,71.06,72.3,1509253200,18.56,1325.35,2017-10-28 22:00:00
71.5,72.29,71.5,72.29,1509256800,1.61,115.04,2017-10-28 23:00:00
71.51,71.51,71.5,71.5,1509260400,15.58,1113.94,2017-10-29 00:00:00
71.51,71.51,71.51,71.51,1509264000,1.8,128.85,2017-10-29 01:00:00
71.52,72.28,71.51,71.51,1509267600,7.38,528.61,2017-10-29 02:00:00
71.52,71.52,71.52,71.52,1509271200,0.9143,65.39,2017-10-29 03:00:00
71.03,72.0,71.01,71.52,1509274800,1031.66,73314.75,2017-10-29 04:00:00
72.3,72.3,71.01,71.03,1509278400,1031.34,74518.27,2017-10-29 05:00:00
73.0,73.0,71.28,72.3,1509282000,1746.27,127424.6,2017-10-29 06:00:00
73.37,74.0,73.0,73.0,1509285600,9740.37,714900.48,2017-10-29 07:00:00
73.02,75.06,73.01,73.37,1509289200,5203.72,389839.27,2017-10-29 08:00:00
73.8,74.9,73.02,73.02,1509292800,22.96,1697.13,2017-10-29 09:00:00
74.5,75.5,73.5,73.8,1509296400,3027.68,228186.68,2017-10-29 10:00:00
74.8,75.52,73.01,74.5,1509300000,6911.89,509760.53,2017-10-29 11:00:00
74.0,74.8,73.05,74.8,1509303600,2017.91,150600.46,2017-10-29 12:00:00
74.0,74.98,73.06,74.0,1509307200,1222.75,91107.55,2017-10-29 13:00:00
74.01,75.0,74.0,74.0,1509310800,913.24,68339.75,2017-10-29 14:00:00
73.52,74.75,73.51,74.01,1509314400,151.32,11174.57,2017-10-29 15:00:00
74.5,74.5,73.52,73.52,1509318000,110.69,8243.29,2017-10-29 16:00:00
74.7,74.74,73.61,74.5,1509321600,1246.42,93072.2,2017-10-29 17:00:00
73.02,74.73,73.0,74.7,1509325200,247.5,18171.11,2017-10-29 18:00:00
74.48,74.48,73.02,73.02,1509328800,175.61,12916.62,2017-10-29 19:00:00
73.35,74.51,73.25,74.48,1509332400,222.62,16585.22,2017-10-29 20:00:00
74.0,75.0,73.35,73.35,1509336000,58.78,4396.96,2017-10-29 21:00:00
75.6,75.6,74.0,74.0,1509339600,1475.07,110512.95,2017-10-29 22:00:00
74.0,75.6,73.54,75.6,1509343200,88.54,6655.84,2017-10-29 23:00:00
74.0,74.0,74.0,74.0,1509346800,0.0,0.0,2017-10-30 00:00:00
74.02,74.02,74.0,74.0,1509350400,0.2998,22.19,2017-10-30 01:00:00
73.26,75.55,73.26,74.02,1509354000,168.61,12627.16,2017-10-30 02:00:00
73.28,75.49,73.26,73.26,1509357600,138.98,10389.32,2017-10-30 03:00:00
73.21,73.29,73.21,73.28,1509361200,15.43,1130.58,2017-10-30 04:00:00
73.24,74.96,73.21,73.21,1509364800,89.28,6555.31,2017-10-30 05:00:00
74.85,74.85,73.24,73.24,1509368400,9.74,717.65,2017-10-30 06:00:00
74.4,74.95,74.0,74.85,1509372000,126.28,9353.03,2017-10-30 07:00:00
74.49,74.49,74.3,74.4,1509375600,7.63,567.37,2017-10-30 08:00:00
74.47,74.49,73.5,74.49,1509379200,101.68,7523.71,2017-10-30 09:00:00
74.25,74.5,73.85,74.47,1509382800,6.57,486.74,2017-10-30 10:00:00
74.46,74.5,73.1,74.25,1509386400,1613.09,118066.21,2017-10-30 11:00:00
74.18,74.46,73.26,74.46,1509390000,1571.98,116674.83,2017-10-30 12:00:00
73.15,74.18,73.14,74.18,1509393600,239.96,17563.89,2017-10-30 13:00:00
74.15,74.17,73.13,73.15,1509397200,11.47,844.4,2017-10-30 14:00:00
74.13,74.15,73.13,74.15,1509400800,59.48,4380.4,2017-10-30 15:00:00
74.04,74.13,73.13,74.13,1509404400,24.49,1809.02,2017-10-30 16:00:00
74.0,74.04,73.2,74.04,1509408000,396.55,29325.46,2017-10-30 17:00:00
73.98,74.0,73.4,74.0,1509411600,90.22,6652.3,2017-10-30 18:00:00
74.22,74.22,73.6,73.98,1509415200,44.47,3286.16,2017-10-30 19:00:00
74.18,74.22,73.21,74.22,1509418800,77.68,5732.77,2017-10-30 20:00:00
74.16,74.18,73.5,74.18,1509422400,7.67,566.96,2017-10-30 21:00:00
74.12,74.16,74.12,74.16,1509426000,31.01,2298.32,2017-10-30 22:00:00
74.09,74.12,74.09,74.12,1509429600,2.78,206.18,2017-10-30 23:00:00
74.0,74.09,73.39,74.09,1509433200,10.84,802.25,2017-10-31 00:00:00
73.89,74.0,73.89,74.0,1509436800,10.82,799.49,2017-10-31 01:00:00
73.6,73.89,73.6,73.89,1509440400,0.01784,1.31,2017-10-31 02:00:00
73.4,74.22,73.39,73.6,1509444000,1002.15,74324.31,2017-10-31 03:00:00
74.23,74.23,73.4,73.4,1509447600,154.82,11489.66,2017-10-31 04:00:00
73.5,74.23,73.5,74.23,1509451200,36.23,2684.68,2017-10-31 05:00:00
73.1,74.23,73.09,73.5,1509454800,77.41,5713.61,2017-10-31 06:00:00
74.14,74.14,73.1,73.1,1509458400,190.18,13990.87,2017-10-31 07:00:00
73.5,74.14,73.01,74.14,1509462000,241.58,17816.79,2017-10-31 08:00:00
74.25,74.25,73.16,73.5,1509465600,903.47,67004.75,2017-10-31 09:00:00
74.24,74.25,73.47,74.25,1509469200,351.51,25877.53,2017-10-31 10:00:00
73.73,74.25,73.27,74.24,1509472800,81.01,5989.27,2017-10-31 11:00:00
74.25,74.25,73.27,73.73,1509476400,226.97,16748.92,2017-10-31 12:00:00
74.18,74.25,73.6,74.25,1509480000,56.17,4159.13,2017-10-31 13:00:00
74.22,74.24,73.6,74.18,1509483600,200.78,14886.56,2017-10-31 14:00:00
73.2,74.22,73.2,74.22,1509487200,185.96,13701.19,2017-10-31 15:00:00
73.23,73.89,73.2,73.2,1509490800,97.88,7187.69,2017-10-31 16:00:00
